country,pl,plf,reg,ts,user
CN,22,iOS,1581070195269,1586049462424,9799287prod-as
CN,18,iOS,1584203548550,1586058414798,10102047prod-as
CN,10,iOS,1585196846000,1586070760562,10217578prod-as
PH,33,iOS,1537843965902,1586054136587,10285516prod-in
TH,4,Android,1586010473139,1586051949854,10316012prod-as
ID,14,Android,1543006247674,1586062425103,10917649prod-in
US,2,iOS,1565730313619,1586045405005,12338231prod-us
CN,25,iOS,1511095869066,1586060011322,142171prod-as
ID,31,Android,1567271269080,1586050507731,18669765prod-in
IN,5,Android,1570435022630,1586047696493,19887484prod-in
EG,20,Android,1574519570817,1586076584904,21392245prod-in
GB,9,Android,1511454989108,1586096106624,2179929prod-eu
BD,32,Android,1576451924597,1586059619047,22136151prod-in
ID,27,Android,1577029638174,1586047647628,22376929prod-in
IN,3,Android,1577106973593,1586055736634,22405912prod-in
IR,26,Android,1566794516371,1586084085156,22850679prod-eu
ID,10,Android,1581071499639,1586046273474,23819253prod-in
BF,16,Android,1581171629201,1586065203692,23857418prod-in
IN,24,Android,1582305828707,1586056757863,24185376prod-in
IN,18,Android,1582778662855,1586054098142,24317736prod-in
VN,25,iOS,1583518233637,1586052558668,24519554prod-in
VN,15,Android,1584087162613,1586046133030,24690482prod-in
IN,12,Android,1584895948170,1586049663132,24970394prod-in
PH,10,iOS,1585349112411,1586060436707,25151735prod-in
IN,5,Android,1585678160806,1586073479450,25282583prod-in
VN,3,iOS,1586017782337,1586060546558,25409475prod-in
IN,3,Android,1586023964683,1586060271143,25411467prod-in
RU,13,Android,1575825519482,1586066330765,25715672prod-eu
UZ,6,Android,1585559626433,1586077091366,28881870prod-eu
KZ,4,Android,1585839904173,1586063567044,28970453prod-eu
BR,29,Android,1514214929306,1586052010706,3654275prod-us
CN,25,Android,1529830800255,1586048788130,4529207prod-as
LK,4,iOS,1515512533801,1586055805664,4978207prod-in
CN,21,Android,1565323092677,1586082892788,8103220prod-as
CN,7,Android,1566818511869,1586049950103,8300910prod-as
CN,17,Android,1585814967823,1586062469621,10273741prod-as
CN,6,iOS,1585995501360,1586047568354,10308856prod-as
IN,12,iOS,1540832974954,1586085835595,10671559prod-in
US,30,Android,1559904554094,1586067410731,11144460prod-us
US,24,iOS,1580133713221,1586048054814,15385100prod-us
MA,33,Android,1559805685195,1586045711593,15641602prod-in
US,5,iOS,1584314274283,1586046666368,16030144prod-us
RU,33,Android,1510841412575,1586086078431,1836prod-eu
IR,20,Android,1562061587793,1586074447091,21190570prod-eu
VN,24,iOS,1575560931977,1586046565982,21777077prod-in
RU,33,Android,1565873895261,1586063986398,22551717prod-eu
MY,33,Android,1581848325506,1586059691248,24056336prod-in
IN,8,Android,1584239818282,1586052819709,24732259prod-in
ID,16,Android,1584645997416,1586090579647,24869083prod-in
VN,27,iOS,1585320003794,1586050907823,25142856prod-in
IN,4,Android,1585746278783,1586063055270,25307533prod-in
IN,5,Android,1585814979981,1586060475228,25331906prod-in
IN,3,Android,1585889640310,1586060005938,25358531prod-in
NG,3,Android,1586000024516,1586055519730,25401047prod-in
MY,3,Android,1586060313419,1586060313421,25420480prod-in
FR,1,iOS,1582951643257,1586082531590,28095509prod-eu
RU,13,Android,1583917405599,1586058331591,28367710prod-eu
RU,10,Android,1585149085130,1586060825518,28740238prod-eu
US,16,Android,1512609654379,1586045640110,2879103prod-us
IR,3,Android,1586090225324,1586090225359,29040534prod-eu
HK,33,iOS,1529078654250,1586048651781,4459174prod-as
CN,13,iOS,1581001369240,1586050590871,9790242prod-as
BR,3,Android,1554683281264,1586099932531,9962438prod-us
CN,5,iOS,1585971781613,1586054138484,10296515prod-as
FR,25,Android,1586002437257,1586045514765,10312986prod-as
CN,3,iOS,1586007413520,1586047284803,10315036prod-as
CN,5,iOS,1586027337103,1586054337215,10318709prod-as
RU,33,Android,1532354185034,1586065534660,13626738prod-eu
LK,4,Android,1556619261727,1586051544622,13699548prod-in
MX,3,Android,1577848125876,1586068788344,14897201prod-us
RU,4,Android,1542625505317,1586084732239,15802326prod-eu
